dimension,points,distance,median_restart_distance,restart_spread,method,seed
2,5,1.175570505,1.175570505,0.000000000,exact: regular polygon,20308719
5,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20311746
10,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20316791
20,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20326881
40,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20347061
60,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20367241
80,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20387421
100,5,1.581138830,1.581138830,0.000000000,exact: regular simplex,20407601
2,10,0.618033989,0.618033989,0.000000000,exact: regular polygon,20354599
5,10,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,20357626
10,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20362671
20,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20372761
40,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20392941
60,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20413121
80,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20433301
100,10,1.490711985,1.490711985,0.000000000,exact: regular simplex,20453481
2,20,0.312868930,0.312868930,0.000000000,exact: regular polygon,20446359
5,20,1.183116555,1.183116436,0.000000358,heuristic: smooth-max projected gradient,20449386
10,20,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,20454431
20,20,1.450952500,1.450952500,0.000000000,exact: regular simplex,20464521
40,20,1.450952500,1.450952500,0.000000000,exact: regular simplex,20484701
60,20,1.450952500,1.450952500,0.000000000,exact: regular simplex,20504881
80,20,1.450952500,1.450952500,0.000000000,exact: regular simplex,20525061
100,20,1.450952500,1.450952500,0.000000000,exact: regular simplex,20545241
2,40,0.156918191,0.156918191,0.000000000,exact: regular polygon,20629879
5,40,0.986625791,0.986622930,0.002514422,heuristic: smooth-max projected gradient,20632906
10,40,1.290994406,1.290994287,0.000000119,heuristic: smooth-max projected gradient,20637951
20,40,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,20648041
40,40,1.432229748,1.432229748,0.000000000,exact: regular simplex,20668221
60,40,1.432229748,1.432229748,0.000000000,exact: regular simplex,20688401
80,40,1.432229748,1.432229748,0.000000000,exact: regular simplex,20708581
100,40,1.432229748,1.432229748,0.000000000,exact: regular simplex,20728761
2,80,0.078519632,0.078519632,0.000000000,exact: regular polygon,20996919
5,80,0.835350275,0.832916379,0.002478898,heuristic: smooth-max projected gradient,20999946
10,80,1.167015553,1.158667445,0.011619449,heuristic: smooth-max projected gradient,21004991
20,80,1.316832304,1.312359810,0.006045461,heuristic: smooth-max projected gradient,21015081
40,80,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21035261
60,80,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21055441
80,80,1.423136134,1.423136134,0.000000000,exact: regular simplex,21075621
100,80,1.423136134,1.423136134,0.000000000,exact: regular simplex,21095801
2,120,0.052353897,0.052353897,0.000000000,exact: regular polygon,21363959
5,120,0.754858196,0.753854454,0.002807736,heuristic: smooth-max projected gradient,21366986
10,120,1.120761395,1.105968952,0.018056035,heuristic: smooth-max projected gradient,21372031
20,120,1.275565624,1.272694588,0.004997969,heuristic: smooth-max projected gradient,21382121
40,120,1.364152193,1.361052513,0.005494356,heuristic: smooth-max projected gradient,21402301
60,120,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21422481
80,120,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21442661
100,120,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21462841
2,160,0.039267385,0.039267385,0.000000000,exact: regular polygon,21730999
5,160,0.713481426,0.705762625,0.010626614,heuristic: smooth-max projected gradient,21734026
10,160,1.069939733,1.065855742,0.010566115,heuristic: smooth-max projected gradient,21739071
20,160,1.250403643,1.245580196,0.006909013,heuristic: smooth-max projected gradient,21749161
40,160,1.349456191,1.342888117,0.009656310,heuristic: smooth-max projected gradient,21769341
60,160,1.379382730,1.375917673,0.006149888,heuristic: smooth-max projected gradient,21789521
80,160,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21809701
100,160,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,21829881
2,200,0.031414635,0.031414635,0.000000000,exact: regular polygon,22098039
5,200,0.664255559,0.662787437,0.002238750,heuristic: smooth-max projected gradient,22101066
10,200,1.041261196,1.040669918,0.011169314,heuristic: smooth-max projected gradient,22106111
20,200,1.236880422,1.227319717,0.011282802,heuristic: smooth-max projected gradient,22116201
40,200,1.331207275,1.327603340,0.005708575,heuristic: smooth-max projected gradient,22136381
60,200,1.368582129,1.362465858,0.008474350,heuristic: smooth-max projected gradient,22156561
80,200,1.384043813,1.379950047,0.007018089,heuristic: smooth-max projected gradient,22176741
100,200,1.414213562,1.414213562,0.000000000,exact: cross-polytope subset,22196921
